移動支援,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：障がい児,指定日
2764100539,あるふぁケアステーション,06-6948-6251,06-6948-6261,530-0033,大阪市北区池田町１７番８号　マンション和幸２０３号室,合同会社　Ｍ＆Ｍ,○,○,○,○,2016/06/01
2764100091,えむあい介護サービス,06-6355-2176,06-6355-2177,530-0035,大阪市北区同心二丁目７番１９号　ビガーポリス１３２マーブルハウス２階２０２号,有限会社　エムアイ・プランニング,○,○,○,○,2008/09/01
2764101032,ロード北区,06-6948-5377,06-6948-5378,530-0035,大阪市北区同心二丁目６番１７号　Ｓｔａｙ　Ｃｉｔｙ同心５０１,株式会社ロード,○,○,○,○,2023/06/01
2764101016,訪問介護ソフィス,06-6867-7781,06-6867-7782,530-0035,大阪市北区同心二丁目１５番２０号　是空ＤＯＳＨＩＮ６０１,合同会社ソフィス,○,○,○,○,2023/03/01
2764100224,ライフ・ケア・なんば,06-6949-8096,06-6949-8096,530-0036,大阪市北区与力町６－２７　 ,社会福祉法人なでしこ会,○,○,,,2008/09/01
2764101289,リンクケアサポート,090-8367-4091, ,530-0037,大阪市北区松ケ枝町６番１号　グロウビル６０３号,株式会社Ｌｉｎｋ,○,○,○,○,2026/01/01
2764100240,天神介護サービス,06-6353-2212,06-6353-2213,530-0041,大阪市北区天神橋３－７－１８　３０２号,株式会社　タカミコーポレーション,○,○,○,○,2008/09/01
2764100331,はれやか,06-6809-5277,06-6809-5278,530-0041,大阪市北区天神橋三丁目８番９号　新末広ビル３０３Ａ,株式会社　ルール・シーン,○,○,○,○,2011/12/01
2764100315,訪問介護ステーションほりかわ,06-6351-8281,06-6351-8298,530-0041,大阪市北区天神橋２丁目北１番２号　,株式会社　制服のノムラ,○,○,○,○,2011/07/01
2764100166,有限会社トータルサービス冨士田,06-6352-0567,06-6352-2900,530-0041,大阪市北区天神橋一丁目１８番２５号　,有限会社　トータルサービス冨士田,○,○,○,○,2008/09/01
2764100380,ケアサービス　ダンデライオン,06-4801-8300,06-4801-8301,530-0041,大阪市北区天神橋５丁目７番１０号　さかしん天神橋ビル７Ｆ,有限会社　ダンデライオン,○,○,○,○,2012/07/01
2764100521,ケアクル訪問介護ステーション,06-6351-2177,06-6351-2178,530-0041,大阪市北区天神橋二丁目２番１０－３０１号　 ,クルー・コーポレーション株式会社,○,○,○,○,2016/06/01
2764100596,アンジーヘルパーステーション,06-6940-4124,06-6940-4124,530-0041,大阪市北区天神橋六丁目５番２号　 ,株式会社アンジーヘルパーステーション,○,○,○,○,2017/09/01
2764100646,ＡＯＺＯＲＡＣＡＲＥ,06-6484-9957,06-6484-9967,530-0041,大阪市北区天神橋一丁目２０番１３号　有明ビル１Ｃ,株式会社ＷＩｂｅ,○,○,○,○,2020/02/01
2764101065,心介護サービス,06-6949-8131,06-6949-8131,530-0041,大阪市北区天神橋一丁目１９番１５－３０１号　 ,有限会社はな,○,○,○,○,2023/09/01
2764101206,株式会社ＫＯＳＭＯ　ホームヘルプサービス　大阪事業所,06-4309-6671,06-4309-6673,530-0041,大阪市北区天神橋二丁目２番１０号　ハイ・マウントビル５０１号,株式会社ＫＯＳＭＯ,○,,,,2025/04/01
2763100258,サポートセンター「紫陽花」,06-6809-3195,06-6809-4590,530-0041,大阪市北区天神橋四丁目６番８号　 ,特定非営利活動法人　サポートセンター紫陽花,○,○,○,○,2008/09/01
2764101271,みのり,06-6881-0005,06-6881-0005,530-0042,大阪市北区天満橋一丁目３番２１号　タカセビル２０３号,合同会社みのり,○,○,○,○,2025/12/01
2764100208,ケアサポート援,06-6809-4970,06-4800-2124,530-0043,大阪市北区天満二丁目２番１９号　 ,オフィス・援　有限会社,○,○,○,○,2008/09/01
2769400371,すこやか介護ケア,06-6136-0120,06-6136-0121,530-0043,大阪市北区天満二丁目１２番１９号１階　 ,ＫＡクリエイト株式会社,○,○,○,,2014/03/01
2764100620,街のお手伝い屋さん「～輝きステーション～」,080-4200-0676,06-7635-8156,530-0043,大阪市北区天満四丁目４番１０号　神前ビル２階２０１号室,株式会社Ｌ・Ｍ・Ｔ,○,○,○,○,2018/09/01
2764101073,ひやくグループ天満ステーション,06-7223-3651,06-7223-3651,530-0043,大阪市北区天満二丁目１２番３号　ヴィレッジリバー南森町４Ｂ,株式会社ひやくグループ,○,○,○,○,2023/10/01
2764101214,Ｙｅｌｌ,06-6379-5979,06-6379-5978,530-0043,大阪市北区天満二丁目３番５号　山本ビル２０２号,合同会社ウェルフェアハート,○,○,○,,2025/04/01
2764100992,ケア２１西天満,06-6316-0621,06-6316-0721,530-0047,大阪市北区西天満三丁目１１番３号　たかせビル２階,株式会社　ケア２１,○,○,○,○,2023/03/01
2764100349,ニチイケアセンター梅田,06-6360-6377,06-6362-0115,530-0047,大阪市北区西天満一丁目７番４号　協和中之島ビル３階　Ｂ号室,株式会社ニチイ学館,○,○,○,○,2012/01/01
2764100489,株式会社ＣＲ,06-6315-1538,06-6948-6121,530-0047,大阪市北区西天満四丁目５番５号　マーキス梅田２０２号室,株式会社ＣＲ,○,○,○,○,2015/03/01
2764300428,ヘルパーステーションつつむ,06-6809-7970,06-6809-7980,530-0047,大阪市北区西天満三丁目６番２２号４０１　 ,株式会社　ＰＲＯＰＯＳＴＡ,○,○,○,○,2015/11/01
2764100554,よつば訪問介護　大阪梅田,06-6315-1550,06-6315-1551,530-0047,大阪市北区西天満五丁目１３番５号　ニューシティアパートメンツ西天満１階,わんず介護株式会社,○,○,○,○,2016/12/01
2761800669,訪問介護事業所いとぐち,06-6450-6164,06-6450-6165,530-0047,大阪市北区西天満五丁目１０番１２号　ＫＷＩビル３０１,株式会社いとぐち,○,○,○,○,2024/01/01
2764101149,エクセレント,070-9032-0554, ,530-0047,大阪市北区西天満三丁目５番２号　クリエ西天満６０２号,合同会社エクセレント,○,○,○,○,2024/05/01
2764101180,イーエンケア,06-6867-7637,06-6867-7638,530-0047,大阪市北区西天満四丁目１０番６号　エスペランサ西天満１０１,アイビ株式会社,○,○,○,○,2024/12/01
2764100547,アロハ介護サービス,06-6360-7561,06-6360-7562,530-0047,大阪市北区西天満三丁目１番２５－３０３号　 ,特定非営利活動法人　アロハサポート,○,○,○,,2016/10/01
2764100042,株式会社ハート介護サービス,06-6362-3368,06-6362-3367,530-0054,大阪市北区南森町二丁目２番９号　 ,株式会社　ハート介護サービス,○,○,○,○,2008/09/01
2762200968,ヘルパーステーションあずき,06-6926-4275,06-6926-4276,530-0054,大阪市北区南森町一丁目３番２９号－１００４号　 ,株式会社　ラトゥ,○,○,○,○,2014/01/01
2764101123,訪問介護事業所ピース,06-6690-8490,06-6690-8491,530-0055,大阪市北区野崎町一丁目２６番３０４号　 ,株式会社Ｐｉｅｃｅ,○,○,○,○,2024/04/01
2764101115,訪問介護事業所誠グループ　本店,06-6450-6224,06-6450-6225,531-0041,大阪市北区天神橋七丁目５番８号　ＨＡＴＡビル４階,合同会社誠,○,○,○,○,2024/03/01
2764101222,Ｏｈａｎａ介護サービス,06-6766-4147,06-6766-4148,531-0041,大阪市北区天神橋七丁目１０番２号　喜住ビル１Ｆ,Ｏｈａｎａ介護サービス合同会社,○,○,○,○,2025/05/01
2764100257,まごころケア北,06-6352-0830,06-6352-0831,531-0061,大阪市北区長柄西１－１－１６　,株式会社　まごころケア,○,○,○,○,2009/03/01
2764100950,訪問介護事業所ハラタ,06-6242-0310,06-6882-3545,531-0061,大阪市北区長柄西一丁目７番４３号　 ,株式会社ハラタ,○,○,○,○,2022/08/01
2764101008,愛治ケアセンター,06-4397-4412,06-4397-4413,531-0062,大阪市北区長柄中一丁目３番２３号　トレンディーマルナカ１０１号室,合同会社愛治,○,○,○,○,2023/03/01
2764100190,エルケア株式会社　エルケア長柄ケアセンター,06-7688-5077,06-7688-5079,531-0063,大阪市北区長柄東二丁目８番３６号　淀川リバーサイド・ビーネ２階,エルケア　株式会社,○,○,○,○,2008/09/01
2764100182,ケア２１北,06-6355-0021,06-6355-0121,531-0064,大阪市北区国分寺二丁目１番１４号　ＡＣＯＭ天六ビル５階,株式会社　ケア２１,○,○,○,○,2008/09/01
2764100422,ケア中津,06-6371-3000,06-6376-1267,531-0071,大阪市北区中津二丁目５番４号　 ,社会福祉法人　光徳寺善隣館,○,○,○,○,2014/04/01
2764100273,（株）ソニックコーポレーショントータルケアサービス,06-6457-0207,06-6457-0208,531-0071,大阪市北区中津７－３－７－３０１　,株式会社ソニックコーポレーショントータルケアサービス,○,○,○,○,2009/08/01
2764100158,有限会社メイコーひまわり,06-6377-3301,06-6377-3302,531-0071,大阪市北区中津四丁目４番１１号　,有限会社　メイコーひまわり,○,○,○,○,2008/09/01
2764101024,訪問介護事業所　ｅｎｎ,06-6867-9767,06-6867-9768,531-0071,大阪市北区中津一丁目２番２１号　明大ビル４０８号,株式会社ｍｕｓｕｂｕ,○,○,○,○,2023/05/01
2764101198,うめきたケア,06-6867-9820,06-6867-9821,531-0071,大阪市北区中津三丁目３番２７－２０３号　 ,光株式会社,○,○,○,○,2025/02/01
2764101297,はぐくみ訪問介護ステーション,06-7777-8016,06-7777-8016,531-0071,大阪市北区中津一丁目２番５－８０６号　 ,合同会社ＣＯＣＯＮ,○,○,○,○,2026/01/01
2764101164,太陽ＳＵＮＳＵＮ,070-8487-0864, ,531-0073,大阪市北区本庄西二丁目１１番６－２０１号　 ,一般社団法人大阪市北区訪問介護,○,○,○,○,2024/08/01
2764100216,「コスモス」ケアサービス,06-6371-1696,06-6371-1219,531-0073,大阪市北区本庄西二丁目１０番１６号　,株式会社　コスモス,○,○,○,○,2008/09/01
2764100406,株式会社　ケアなでしこ,06-6373-1724,06-7502-2296,531-0073,大阪市北区本庄西２－１５－１２　,株式会社　ケアなでしこ,○,○,○,○,2013/03/01
2764100612,モンスティル南森町,06-6940-4004,06-6940-4003,531-0073,大阪市北区本庄西二丁目１０番５号　 ,株式会社モンスティル,○,○,○,,2017/10/01
2764100968,介護サービス　Ｇｒｅｅｎ,06-6372-0486,06-6372-0486,531-0073,大阪市北区本庄西三丁目７番２２号　 ,合同会社伊藤,○,,,,2022/09/01
2764100893,もこもこセンター,06-7651-6935,06-7652-7774,531-0074,大阪市北区本庄東二丁目１２番１５号　 ,有限会社　もこもこセンター,○,○,○,○,2021/12/01
2764100877,総合介護支援サービスマハロ,06-6374-0039,06-6374-5577,531-0074,大阪市北区本庄東二丁目１番１８号　天七ビルディング３０３号,トキハ管財株式会社,○,○,○,○,2021/09/01
2764101305,希庵,080-7081-8084,06-6676-8399,531-0075,大阪市北区大淀南三丁目７番１２－４０２号　 ,特定非営利活動法人樹,○,○,○,○,2026/03/01
2764100299,訪問介護サービス勇光,06-7493-4755,06-6225-8654,531-0076,大阪市北区大淀中五丁目４番１４号　 ,株式会社　勇光福祉サービス,○,○,○,○,2011/04/01
2764100851,ミライケアサポート,06-6459-7675,06-6459-7704,531-0076,大阪市北区大淀中二丁目４番７号　 ,株式会社ミライケアサポート,○,○,○,○,2020/10/01
2764100588,大淀介護サービス,06-6455-7996,06-6455-7996,531-0077,大阪市北区大淀北一丁目９番１６号　 ,合同会社アールサポート,○,○,○,○,2017/02/01
2765200387,ケア２１城北公園通,06-6922-2821,06-6922-3821,534-0002,大阪市都島区大東町２丁目３番７号　エスポワール若杉１階１０２号室,株式会社　ケア２１,○,○,○,○,2012/12/01
2765200866,ヘルパーステーションおにぎり,06-6786-4152,06-6786-4153,534-0002,大阪市都島区大東町二丁目１５番６号　 ,合同会社４サイクル,○,○,○,○,2021/06/01
2765200593,ソウルケア,06-6314-6611,06-6314-6633,534-0011,大阪市都島区高倉町１－５－２３－４０１　 ,株式会社齋英会ソウルケアリバイバル,○,○,○,○,2018/08/01
2765200940,みらいケアステーション,06-6167-5791,06-6167-5792,534-0011,大阪市都島区高倉町三丁目５番１２－６号　 ,株式会社リアーツ,○,○,○,○,2024/05/01
2765201039,訪問介護レックス,06-4981-7324,06-4981-7324,534-0011,大阪市都島区高倉町二丁目６番８号　ＪＬビル都島３０１号室,株式会社ＬＥＸ,○,○,○,○,2025/09/01
2765200544,ヘルパーステーション　パイン,06-6929-8880,06-6929-8887,534-0012,大阪市都島区御幸町二丁目１０番１２号　 ,社会福祉法人治栄会,○,○,○,○,2016/08/01
2765200502,エース,06-6922-0001,06-6922-0002,534-0012,大阪市都島区御幸町一丁目５番２１号　アルファ都島ビル３Ｆ,株式会社エース,○,○,○,○,2015/11/01
2765200627,訪問介護まんまる,06-6180-5823,06-6180-5824,534-0012,大阪市都島区御幸町二丁目３番１４号　 ,株式会社こころ,○,○,○,○,2019/10/01
2763100340,ぷれしゃす,06-7181-6990,06-7181-1870,534-0013,大阪市都島区内代町三丁目１０番７号　ラウンドツウ内代３０２号室,株式会社　ぷれしゃす,○,○,,○,2010/12/01
2765200981,ヘルパーステーションＤｏｎｔｏｍ,06-6180-7720,06-6180-7724,534-0013,大阪市都島区内代町一丁目１番２２号　イズミパート７　２階,株式会社ＡＴＳ,,○,○,○,2024/09/01
2765201005,ＣｏＣｏ,050-1724-4870,050-1724-4870,534-0014,大阪市都島区都島北通二丁目６番２９号　第三源氏之荘３０３号室,合同会社ふーぷ,○,○,○,○,2025/02/01
2765200999,ｇｏｉｎｇ,06-6925-5395,06-6925-5397,534-0014,大阪市都島区都島北通二丁目１７番４号　 ,Ｏｃｅａｎ　ＶｉｔａｌＣａｒｅ合同会社,○,○,○,○,2024/09/01
2765200239,いいとも,06-6928-9600,06-6928-9700,534-0016,大阪市都島区友渕町３－４－２２－１０１　,株式会社　ニューズ,○,○,○,○,2009/11/01
2765200155,有限会社スマイルステーション,06-6922-0034,06-6922-0373,534-0016,大阪市都島区友渕町二丁目７番１１号　２Ｆ,有限会社　スマイルステーション,○,○,○,○,2008/09/01
2765200395,あかり介護事業所,06-6955-9031,06-6955-9032,534-0016,大阪市都島区友渕町二丁目４番６号　 ,株式会社Ｙ．Ｇ　ＧＲＯＵＰ,○,○,○,○,2013/03/01
2765200536,はなヘルパーステーション,06-6926-3330,06-6926-3335,534-0016,大阪市都島区友渕町二丁目８番１４－２０１号　 ,合同会社杏,○,○,○,○,2016/03/01
2765200130,あすもケアサービス,06-6929-5811,06-6929-5812,534-0021,大阪市都島区都島本通五丁目３番１５号　 ,株式会社　あすもサポート,○,○,○,○,2008/09/01
2765200189,ケア２１都島,06-4253-5215,06-4253-5216,534-0021,大阪市都島区都島本通三丁目２７番１３号　ＢＥＬＬＥＡＩＲ１０２号室,株式会社　ケア２１,○,○,○,○,2008/09/01
2765200221,ニチイケアセンター都島,06-6926-0730,06-6926-0731,534-0021,大阪市都島区都島本通１－４－２０　タイセイビル２階,株式会社ニチイ学館,○,○,○,○,2009/04/01
2765200445,らぽーるヘルプサービス,06-6924-9015,06-6924-9017,534-0021,大阪市都島区都島本通三丁目１５番１９号　 ,ラポールユニバーサルサポート合同会社,○,○,○,○,2014/05/01
2765200478,バンビヘルパーステーション,06-6167-4711,06-6167-4712,534-0021,大阪市都島区都島本通三丁目２６番３号　 ,株式会社インコ,○,○,○,○,2015/09/01
2765200510,ありびお訪問介護,06-6180-3651,06-6180-3652,534-0021,大阪市都島区都島本通三丁目１２番１４号　 ,株式会社　ｗｅｓｔ,○,○,○,,2016/01/01
2765200635,虹の集いヘルパーステーション,06-7162-0199,06-7162-0199,534-0021,大阪市都島区都島本通四丁目３番２３号　２０２号室,株式会社エム・ティーケア,○,○,○,○,2019/12/01
2765200890,樹ケア,06-6967-9993,06-6967-9994,534-0021,大阪市都島区都島本通三丁目６番２２号－２０１　 ,合同会社しらゆり,○,○,○,○,2022/08/01
2765200965,さんさんヘルパーステーション,06-6955-8927,06-6955-8928,534-0021,大阪市都島区都島本通三丁目２３番２０号　 ,株式会社サニーサイド,○,○,○,○,2024/07/01
2765200957,訪問介護ひだまり,06-6809-2001,06-6809-2001,534-0021,大阪市都島区都島本通三丁目２０番７号　マンションロビンフッド２０２号,株式会社ＡＰＩソリューション,○,○,○,○,2024/05/01
2765200403,サポートセンターＧＡＫＵ,06-6167-7133,06-6167-7133,534-0021,大阪市都島区都島本通三丁目１６番３号　パルハイツ２階,ＮＰＯ法人　真成会,○,○,○,○,2013/04/01
2765200148,有限会社サンスマイル,06-6926-3077,06-6926-3078,534-0022,大阪市都島区都島中通三丁目１番４号　 ,有限会社サンスマイル,○,○,○,○,2008/09/01
2765200643,クレエ都島事業所,06-6926-3033,06-7635-2882,534-0022,大阪市都島区都島中通三丁目１０番４－８０３号　ヴィラペントハウス京橋Ⅳ,株式会社クレエ,○,,,,2020/01/01
2763001688,訪問介護すまいる,06-7897-3946,06-6955-2233,534-0022,大阪市都島区都島中通三丁目１６番８－２０３号　 ,株式会社ＳＯＬＡ,○,○,○,○,2025/03/01
2765200924,移動支援事業所　らぷらす,06-6180-3689, ,534-0022,大阪市都島区都島中通一丁目１４番６号　村橋ビル３階,株式会社ギフテッドホールディングス,○,○,○,○,2023/01/01
2765201021,おやすみなさい介護,06-7777-2966,06-7632-2853,534-0022,大阪市都島区都島中通三丁目５番１１号　 ,ＢＢＱ．ｃａｒｅ合同会社,○,○,○,○,2025/03/01
2765200049,株式会社都島ナース,06-6921-0590,06-6921-0650,534-0023,大阪市都島区都島南通一丁目２０番９号　,株式会社都島ナース,○,○,,○,2008/09/01
2765200882,訪問介護事業所ｍｕｓｕｂｉ京橋,06-6180-3010,06-6180-3020,534-0023,大阪市都島区都島南通二丁目１１番１２号　 ,株式会社ｓａｎｋａｋｕ,○,○,○,○,2022/07/01
2765200379,ホームヘルプセンター梅,06-6358-7118,06-6358-7111,534-0024,大阪市都島区東野田町三丁目１３番９号　わけのビル１号館４階,医療法人　正正会,○,○,○,○,2012/11/01
2765200569,みつば訪問介護　京橋,06-6585-0860,06-6585-0861,534-0024,大阪市都島区東野田町四丁目２番１８号　京橋マンション７０５号,株式会社ベストケア・パートナーズ,○,○,○,○,2016/09/01
2765200874,ひばり介護サービス,06-6355-0033,06-6355-0034,534-0024,大阪市都島区東野田町四丁目２番２３号　バイエル都島４０１号室,株式会社オハナコーポレーション,○,○,○,○,2021/08/01
2765200973,訪問介護ステーションきらめき,090-6336-1448,06-6809-3532,534-0024,大阪市都島区東野田町三丁目１番５号　アメニティ京橋１０１,Ｔ－ＲＩＳＥＳ株式会社,○,○,○,,2024/07/01
2765201047,訪問介護ステーションＲｅ．Ｓｔａｒｔ,090-9618-5891, ,534-0024,大阪市都島区東野田町三丁目１番５号　アメニティー京橋６０４号,合同会社Ｊ２,○,○,○,,2026/01/01
2765200577,ケアセンターサルート大阪,06-6357-2446,06-6357-2465,534-0025,大阪市都島区片町一丁目５番４号　栄ビル１階,医療法人　池田クリニック,○,○,○,○,2017/03/01
2765200528,エールサービス,06-6242-6407,06-6242-6408,534-0027,大阪市都島区中野町二丁目１５番５号　朝日プラザ大宝１０９号,株式会社Ｏｎｅ　Ｖｉｓｉｏｎ,○,○,○,,2016/02/01
2765200304,ヘルパーステーションｆエフ,06-6352-9100,06-6352-9111,534-0027,大阪市都島区中野町４丁目４番２０号　第二マンション１階Ｔ０１号,株式会社　ヤマサキコーポレーション,○,○,○,○,2011/11/01
2765200361,ウェルビ―イングケア,06-4792-7951,06-4792-7952,534-0027,大阪市都島区中野町４丁目５番１３号　プレジデントハイツ２階,合同会社　サウスフォレスト,○,○,○,○,2012/03/01
2765200601,オレンジ畑,06-6862-5511,06-6355-1144,534-0027,大阪市都島区中野町一丁目２番１２号　 ,株式会社大阪メディカルグループ,○,○,○,○,2019/03/01
2765200619,ケアセンター心美,06-6210-7162,06-6210-7163,534-0027,大阪市都島区中野町五丁目８番１４号　桜ノ宮マンション１０１号,セカンドライフ株式会社,○,○,○,○,2019/05/01
2765201013,ヘルパーステーションおうち,06-6450-5012,06-6450-5013,534-0027,大阪市都島区中野町三丁目７番８号　メゾンＭ中野１０１号,ＦＡＩＲ合同会社,○,○,○,○,2025/02/01
2765200015,ヘルプセンター・あるる,06-6355-0101,06-6355-3702,534-0027,大阪市都島区中野町三丁目４番２１号　ベルエキップ・オグラン１階,特定非営利活動法人　あるる,○,○,,○,2008/09/01
2760200168,訪問介護事業所　さくらんぼ,06-6442-1777,06-6442-1771,553-0001,大阪市福島区海老江五丁目７番５号　 ,株式会社　ＫＭＨ,○,○,○,○,2013/01/01
2760200077,ケア２１福島,06-6456-1140,06-6456-1141,553-0001,大阪市福島区海老江七丁目３番１６号　パレス都２階２Ｂ号室,株式会社　ケア２１,○,○,○,○,2008/09/01
2760200242,おれんじ介護サービス,06-6458-0751,06-6458-0751,553-0001,大阪市福島区海老江一丁目７番１４号１階　 ,合同会社ＳＰＬＡＮ,○,○,○,○,2015/07/01
2760200556,ケアステーションえにし,06-4256-8525,06-4256-8525,553-0001,大阪市福島区海老江二丁目５番３号　１階,合同会社えにし,○,○,○,○,2021/05/01
2760200648,訪問介護なごみ,06-7777-6467,06-6867-9815,553-0001,大阪市福島区海老江五丁目２番２－６１１号　 ,合同会社創,○,○,○,,2026/01/01
2760200044,ファミリーケアやまき,06-6454-0166,06-6454-0167,553-0002,大阪市福島区鷺洲二丁目１０番１号　２Ｆ,有限会社　ファミリーケアやまき,○,○,,○,2008/09/01
2760200010,すずらん福祉会なでしこ事業所,06-6940-6310,06-6940-6310,553-0003,大阪市福島区福島四丁目６番１８号　２階,社会福祉法人　すずらん福祉会,○,○,○,,2008/09/01
2760200226,障害者サポート西梅田,06-6442-5650,06-6442-5650,553-0003,大阪市福島区福島六丁目１１番１３－１１１６号　 ,ＦＩＣ合同会社,○,○,○,○,2014/12/01
2760200630,ぼのほーむの訪問介護　福島店,06-6147-7400,06-6147-7401,553-0003,大阪市福島区福島六丁目１２番１６号　矢山ビル３０３,株式会社　矢野晴大事務所,○,○,○,○,2026/01/01
2760200622,ユースタイルケア大阪福島センター,06-6451-5746,06-4256-8343,553-0003,大阪市福島区福島五丁目１６番２０号　Ｋ＆Ｋビル２０３号,合同会社日龍,○,○,○,○,2025/09/01
2760200234,千寿ケアサービス,06-6444-4165,06-6444-1013,553-0004,大阪市福島区玉川二丁目８番４ー５０１号　 ,千寿パートナーズ株式会社,○,○,○,○,2015/04/01
2760200218,レタス,06-6449-6435,06-6940-6400,553-0004,大阪市福島区玉川四丁目９番２２号　田村ビル１Ｆ,レタス介護支援センター合同会社,○,○,○,○,2014/11/01
2760200523,レイナサポートサービス合同会社　福島オフィス,06-6136-8566,06-6136-8566,553-0004,大阪市福島区玉川四丁目１０番２７号　ハイツ玉川２０２号,レイナサポートサービス合同会社,○,○,○,○,2020/09/01
2765802141,アチーヴ,06-7505-3741,06-7505-3741,553-0004,大阪市福島区玉川四丁目１２番１０－４０４号　 ,エイアンド合同会社,○,○,○,○,2021/10/01
2760200184,介護センター　みたま,06-6147-4151,06-6147-4151,553-0005,大阪市福島区野田二丁目１４番１号１０２　 ,株式会社　みたま,○,○,○,○,2013/10/01
2760200291,ジャストライフ福島,06-6462-8200,06-6462-8203,553-0005,大阪市福島区野田三丁目７番９号　 ,株式会社ジャストライフ,○,○,○,○,2017/06/01
2760200580,ホームヘルプステーションえがお,06-6461-7759,06-6461-7726,553-0006,大阪市福島区吉野四丁目５番２号　 ,公益財団法人　淀川勤労者厚生協会,○,○,,,2023/10/01
2760200143,ケア２１吉野,06-4804-1521,06-4804-1621,553-0006,大阪市福島区吉野５丁目１４番２５号　日東ビル２階２０２号室,株式会社　ケア２１,○,○,○,○,2012/10/01
2760200119,ニチイケアセンター野田,06-4803-8480,06-4803-8482,553-0006,大阪市福島区吉野１－１０－１５　スプルース野田ビル２階,株式会社ニチイ学館,○,○,○,○,2008/09/01
2762800114,ぽっぽっぽ,06-6147-7603,06-6147-7603,553-0006,大阪市福島区吉野五丁目５番１４号　 ,株式会社　ぽっぽっぽ,○,○,,○,2008/09/01
2761000260,ふわりん介護サービス,06-6136-7366,06-6136-7366,553-0006,大阪市福島区吉野四丁目２５番１４号　 ,株式会社ふわりん,○,○,○,○,2012/12/01
2760200275,介護ケアセンター花,06-6147-4120,06-6147-4121,553-0006,大阪市福島区吉野四丁目２６番１５号　 ,株式会社介護ケアセンター花,○,○,○,○,2016/09/01
2760200317,訪問介護ビビット,06-4963-0027,06-4963-0028,553-0006,大阪市福島区吉野五丁目１４番２５号　日東ビル２０３号,合同会社アウトリーチ,○,○,○,○,2019/09/01
2760200606,きらやか訪問介護,080-4434-7468,06-7492-7785,553-0006,大阪市福島区吉野一丁目３番２０号　 ,ＭＩＣ株式会社,○,○,○,○,2023/12/01
2760200614,ひより,06-6616-8904,06-6616-8905,553-0006,大阪市福島区吉野一丁目１７番６号　ホープアベニュー野田２階,株式会社日和,○,○,○,○,2025/07/01
