移動支援,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：障がい児,指定日,,
2764000374,訪問介護本舗たつ福,06-6335-5501,06-6335-5502,561-0816,豊中市豊南町西三丁目２０番２０－２２号　 ,合同会社生龍,○,○,○,○,2023/04/01,,
2764007916,ヘルパーステーションこころん,06-6676-7756,06-6676-7757,561-0816,豊中市豊南町西三丁目１０番１０号　ユーキビル３０１号室,合同会社こころん,○,○,○,○,2024/08/01,,
2764000044,ビジョン訪問介護,06-6335-2350,06-6335-2351,561-0817,豊中市浜三丁目１８番３－１号　 ,有限会社　ハッピーライフ,○,○,○,○,2008/09/01,,
2764007940,ケアステーションえみい,090-3926-2299,06-6334-0790,561-0828,豊中市三和町二丁目１番３－５０３号　 ,株式会社ＢＲＩＧＨＴ,○,○,○,,2024/12/01,,
2764007015,きずなヘルパーステーション,06-6842-7671,06-6842-7672,561-0831,豊中市庄内東町二丁目２番４号　ゼットビル３０５号室,株式会社絆,○,○,○,○,2018/07/01,,
2764007650,ｎａｎａケア,06-6334-5727,06-6334-5722,561-0831,豊中市庄内東町六丁目１３番１０号　ラボコート２０１号,合同会社ＮａＮａ　Ｙｏｕｒｓ　Ｃａｒｅ　Ｓｔａｔｉｏｎ,○,○,○,○,2024/12/01,,
2764007775,訪問介護「れんと」,050-1722-4627,050-3488-1227,561-0831,豊中市庄内東町五丁目１０番３７号　ツインタワー４０１号,合同会社れんと,○,○,○,○,2025/08/01,,
2764006967,いろは介護ステーション,06-7163-8788,06-7163-8788,561-0832,豊中市庄内西町一丁目１番１９号　 ,ステラ合同会社,○,○,○,○,2016/02/01,,
2764007221,介護サービス　すいっち,080-4438-9476,06-7635-7362,561-0832,豊中市庄内西町二丁目２８番１８号　アニシーズ１０１号室,合同会社　すいっち,○,○,○,○,2017/04/01,,
2764007700,ぱぴるす,06-6335-1135,06-6335-1134,561-0832,豊中市庄内西町四丁目９番２１号１０１　 ,株式会社ぱぴるす,○,○,,○,2023/03/01,,
2764007338,あいケアサービス,06-6332-0129,06-7506-9323,561-0833,豊中市庄内幸町四丁目１３－Ａ　月光マンション２号室,合同会社あい,○,○,○,○,2018/02/01,,
2764007601,ヘルパーステーションここみけあ,06-6151-9333,06-6335-5576,561-0833,豊中市庄内幸町二丁目１６番１７号　 ,株式会社　心実クリエイト,○,○,○,○,2023/07/01,,
2764007981,市鈴,06-6333-0068, ,561-0835,豊中市庄本町一丁目１０番７号　 ,株式会社ＩｃｈｉＲｉｎ,○,○,○,○,2025/03/01,,
2764006983,優心・ケア,06-6866-3668,06-6152-8338,561-0843,豊中市上津島三丁目８番５号　 ,株式会社優心,○,○,○,○,2018/03/01,,
2764007353,ヘルパーステーション希望の光,06-6862-5037,06-6862-5078,561-0846,豊中市利倉東２－３－３－３６　 ,一般社団法人希望の光,○,○,○,○,2021/05/01,,
2764000051,和音介護サービス事業所,06-6865-6600,06-6865-6601,561-0852,豊中市服部本町一丁目７番１４号　,ハーモニー　株式会社,,,,,2008/09/01,,
2764000093,介護支援センターモクモク,06-6848-6608,06-6333-1997,561-0852,豊中市服部本町２－６－１７　,合同会社木木,,,,,2011/02/01,,
2764000085,野田ヘルパーステーションぽっかぽか,06-4867-9311,06-4867-9312,561-0855,豊中市野田町１－２０　,株式会社ぽっかぽか,,,,,2010/07/01,,
2764006090,ゆうゆうトライ,06-7504-1150,06-7504-5196,561-0858,豊中市服部西町二丁目５番９号　 ,一般社団法人ゆうゆうＴｒｙ,○,○,○,○,2016/11/01,,
2764006223,介護支援センターグローリー,06-6863-6888,06-6863-6888,561-0859,豊中市服部豊町二丁目１６番２８号　 ,株式会社ジャパン・グローリー,○,○,○,○,2017/09/01,,
2764007379,あいる,06-4866-6961,06-4866-6962,561-0859,豊中市服部豊町１丁目１１番３号　豊町ヴィラ１０１号,合同会社Ｓｉｅｇ,○,○,○,○,2021/02/01,,
2764007692,サボテンサービス,06-6335-7408,050-1433-0193,561-0874,豊中市長興寺南四丁目３番３１号　グランベガ緑地公園２０２号室,合同会社サボテン,○,○,○,○,2022/08/01,,
2764000192,絆２４,06-6836-9261,06-6836-9262,561-0875,豊中市長興寺北三丁目２番３号　服部緑地１番館２階,株式会社　リクリエイト,○,○,○,○,2014/05/01,,
2764006876,ケアライフさくらづか,06-6846-0888,06-6846-0887,561-0881,豊中市中桜塚二丁目３１番１２号　 ,ケアライフさくらづか株式会社,○,○,○,○,2019/07/01,,
2764007528,おちゃのこ彩彩,080-5304-2005,06-6848-7506,561-0893,豊中市宝山町１３－２　宝マンション１０５号,株式会社彩心,○,○,○,○,2019/10/01,,
2761400031,ぽけっと,072-720-7311,072-720-7312,562-0001,箕面市箕面三丁目１５番１３号　 ,一般社団法人らんぷ,○,○,,○,2015/06/01,,
2761404025,エルケア株式会社エルケア箕面ケアセンター,072-720-5517,072-720-5518,562-0003,箕面市西小路三丁目１番１１号　ノースメイプル箕面２０３号,エルケア　株式会社,○,○,○,○,2020/03/01,,
2761400163,エールラインケアサポート,070-6506-5670,072-746-8835,562-0015,箕面市稲二丁目１０－１６　 ,合同会社エール,○,○,○,○,2022/04/01,,
2761400171,チアフル,072-737-9111,072-737-9099,562-0015,箕面市稲二丁目１１番１２号　 ,株式会社チアフル,○,○,○,○,2026/01/01,,
2761400023,ヘルパーステーションほくと,072-737-6285,072-737-6286,562-0025,箕面市粟生外院一丁目１５番２６号　タウンコート１０２号,有限会社イフ,○,○,○,○,2015/02/01,,
2761400049,あじさい箕面ケアセンター,072-720-7617,072-720-5506,562-0041,箕面市桜五丁目１０番１２号　 ,有限会社　あじさい,○,○,○,○,2017/01/01,,
2761604236,ヘルパーサービス涼風,072-703-6370,072-703-6371,562-0041,箕面市桜四丁目１－３２　 ,株式会社アースマインド,○,○,○,○,2019/09/01,,
2761404058,サポートベース凛・箕面,072-720-5568,072-720-5569,562-0044,箕面市半町二丁目２番３３号　佐々木ビル２Ｆ,合同会社知己,○,○,○,○,2022/03/01,,
2762500029,ウェルカム,072-752-6660,072-752-7690,563-0047,池田市室町２番１０号　,特定非営利活動法人縁二一,,,,,2012/03/01,,
2762500037,ケアフリー居宅介護事業所,072-751-2290,072-751-2304,563-0056,池田市栄町６丁目６番　キャピタルハウス栄町２０３号,有限会社　ケアフリー,,,,,2013/05/01,,
2764700122,なないろ介護サービス豊能,072-736-8518,072-736-8520,563-0103,豊能郡豊能町東ときわ台六丁目４番５号　 ,株式会社リベラル介護サービス,○,○,○,○,2024/01/01,,
2764700015,社会福祉法人能勢町社会福祉協議会ホームヘルプサービス,072-734-0770,072-734-2623,563-0341,豊能郡能勢町宿野１１４　,社会福祉法人　能勢町社会福祉協議会,,,,,2008/09/01,,
2761600275,ヘルプセンターぷくぷく,06-6105-9004,06-6105-9014,564-0002,吹田市岸部中一丁目２８番１２号　 ,社会福祉法人　ぷくぷく福祉会,○,○,○,○,2017/04/01,,
2761600069,ヘルパーステーションちいさな手,06-6319-2227,06-6319-2212,564-0011,吹田市岸部南一丁目２１番７号　,有限会社　美郷,,,,,2008/09/01,,
2761600184,居宅介護事業所さんいち,06-6170-9061,06-6170-9062,564-0026,吹田市高浜町９番２号　中央ビルＣ－１号室,特定非営利活動法人さんさん,○,○,○,○,2011/10/01,,
2761600242,かがやき訪問介護サービス,06-6318-1881,06-6318-1888,564-0027,吹田市朝日町２３番１４号　 ,株式会社輝ホールディングス,○,○,○,○,2014/04/01,,
2761600127,サポートベース凛,06-6381-5175,06-6381-5176,564-0032,吹田市内本町三丁目１番５号　 ,合同会社知己,,,,,2009/05/01,,
2761600325,おたがいさま倶楽部吹田事業所,06-6155-9057,06-6155-9067,564-0032,吹田市内本町２丁目２番２９号　ＧＳコート内本町１０１号室,おたがいさま倶楽部合同会社,○,○,○,○,2019/06/01,,
2761600010,アール介護サービスステーション,06-6170-3535,06-6170-3433,564-0036,吹田市寿町二丁目１５番１号　秀幸ビル２階,株式会社Ｙｏｕ　Ｉ,○,○,○,○,2008/09/01,,
2761600200,ヘルパーステーショントパーズ,06-6338-8081,06-6338-8081,564-0041,吹田市泉町五丁目１番１号　大幸ビル２０６号,株式会社ギデオン,,,,,2013/07/01,,
2761600333,さくらそう吹田,06-6192-7005,06-6192-7006,564-0041,吹田市泉町一丁目２３番地１５号　第八関根マンション２０１号室,株式会社日本エルダリーケアサービス,○,○,○,○,2020/01/01,,
2761600093,ケア２１吹田,06-6192-8220,06-6192-8221,564-0044,吹田市南金田二丁目４番１６号　,株式会社　ケア２１,○,○,○,○,2008/09/01,,
2761600135,ケアセンターいわみ,06-6337-7200,06-6337-7270,564-0044,吹田市南金田二丁目７番２６号　 ,株式会社コントレイル,○,○,○,○,2009/09/01,,
2761604194,あもるケアサービス,06-7897-8647,06-7897-8648,564-0044,吹田市南金田二丁目１４番４－１号　 ,株式会社　アモル,○,○,○,○,2016/03/01,,
2761600283,ホームヘルプサービスパワー,06-6192-8008,06-6192-8009,564-0052,吹田市広芝町３番２９号　エッグビル第三江坂６０４,株式会社トレッドアース,○,○,○,○,2017/04/01,,
2761600465,ヘルパーステーションＣａｒｎｅｌｉａｎ,06-6170-4429,06-6170-4429,564-0062,吹田市垂水町三丁目１６番３９号　グラントォータス２１１号室,合同会社Ｃａｒｎｅｌｉａｎ,○,○,○,○,2021/02/01,,
2761600226,あーす,06-6386-9108,06-6386-9120,564-0063,吹田市江坂町一丁目６番８号　三功ビル１００,シンセイ開発株式会社,○,○,○,○,2013/08/01,,
2761600499,あざらし居宅介護,080-8911-5411,06-7732-8088,564-0073,吹田市山手町三丁目２９－３０－３０２　 ,合同会社ＰＲＯＳＯＬ,○,○,○,○,2024/12/01,,
2761600176,愛テレサヘルパーステーション,06-6339-2326,06-6369-7148,564-0082,吹田市片山町１－２６－８　,テレサ妙㈱,,,,,2011/08/01,,
2761604178,ケアステーションあいうえお,06-6386-0101,06-6339-7730,564-0082,吹田市片山町四丁目２７番３２号　 ,株式会社　あいうえお,○,○,○,○,2016/05/01,,
2761600051,ヘルパーステーションポポロ,06-6339-3350,06-6339-6001,564-0082,吹田市片山町四丁目３８番３６－１号２階　 ,特定非営利活動法人　ホッと,○,○,○,○,2008/09/01,,
2761604293,Ｋファースト,06-4798-5012,06-4798-5013,565-0821,吹田市山田東一丁目１８番１０号　メゾン・ド・レプリサージュ２０６号,株式会社ユーナ,○,○,○,○,2019/05/01,,
2761600036,特定非営利活動法人自立生活センター・ＦＲＥＥ,06-4860-8766,06-4860-8767,565-0821,吹田市山田東二丁目４３番６号３階　 ,特定非営利活動法人自立生活センター・ＦＲＥＥ,○,○,○,○,2008/09/01,,
2761600218,ケアステーションありす,06-6816-8113,06-6816-8105,565-0824,吹田市山田西三丁目２１番１４号　,株式会社エナジーワン,,○,○,○,2013/07/01,,
2761604442,ヘルパーステーション吹田の風,06-6816-7001,06-6816-7009,565-0824,吹田市山田西一丁目２番２７号　（１０１）,株式会社ＣＵＲＡ,○,○,○,○,2025/08/01,,
2761604210,「らんぷ」介護サービスセンター,06-6836-8588,06-6836-8688,565-0832,吹田市五月が丘南２８番２６号　１ｓｔビル　２Ｆ,有限会社　明灯,○,○,○,○,2016/11/01,,
2761600259,ヘルパーステーション　吹田の風,06-6816-7001,06-6816-7009,565-0834,吹田市五月が丘北１３番１号　 ,株式会社ザ・ケア,○,○,○,○,2015/07/01,,
2761600291,いつき介護支援センター,06-6155-7552,06-6155-7504,565-0841,吹田市上山手町８－４－１０１　 ,株式会社イツキ,○,○,○,○,2017/04/01,,
2761600481,社会福祉法人英芳会ヘルパーステーション「サニー」,06-6871-2113,06-6871-2134,565-0874,吹田市古江台六丁目２番６号　 ,社会福祉法人英芳会,○,○,○,,2021/12/01,,
2763700032,介護センタードリーム,072-622-1452,072-622-1452,566-0011,摂津市千里丘東２丁目４番１７号　カルム千里丘１０１,株式会社ハート,,,,,2011/03/01,,
2763700065,介護はうすぴえろ,06-6317-1311,06-6317-1311,566-0023,摂津市正雀３丁目７番１３号　,株式会社ぼんの風,,,,,2012/02/01,,
2763704034,Ｄｏ－Ｒｅ－Ｍｉ・ｃａｒｅ,06-6829-7467,06-6829-7397,566-0023,摂津市正雀三丁目７番１３号　 ,合同会社愛れん想,○,○,○,○,2026/04/01,,
2763700040,ヘルパーステーション摂津の風,072-663-1010,072-663-1011,566-0033,摂津市学園町１丁目２番３１号　 ,株式会社ザ・ケア,○,○,○,○,2011/06/20,,
2763700073,ケアセンタ―華摂津,072-634-5323,072-634-5380,566-0034,摂津市香露園１２番２６号　八洲マンション１０５号,株式会社　ＭＫＲ,,,,,2013/07/01,,
2763700024,キティー北大阪,06-6827-2600,06-6827-2600,566-0046,摂津市別府３－１９－６　パークサイド別府１０１号,株式会社　アプローチ,,,,,2011/01/01,,
2763700222,リスタート,072-653-2332,06-7732-3919,566-0063,摂津市鳥飼銘木町１番４０号　石富ビル１ーＣ,株式会社Ｒｅｓｔａｒｔ,○,○,○,○,2021/04/01,,
2763700248,居宅・訪問介護つなぐの種,072-646-9852,072-646-9853,566-0064,摂津市鳥飼中三丁目１番３５号　 ,株式会社三協電材製作所,○,○,○,○,2023/07/01,,
2763700107,訪問介護なないろ,072-648-5997,072-648-5998,566-0072,摂津市鳥飼西四丁目３番１２号　１階,株式会社なないろ,○,○,○,○,2019/02/01,,
2764200107,アクアケアセンター,072-623-3230,072-623-3230,567-0025,茨木市田中町１番１７号　茨木メゾンＮＩＳＨＩ１０１号,有限会社　ａｐｓａｒａ　ｉｎｃ．,○,○,○,○,2013/03/01,,
2764200024,特定非営利活動法人ふれあいぽっぽ,072-627-8903,072-627-8923,567-0036,茨木市上穂積２－１－１０　 ,特定非営利活動法人ふれあいぽっぽ,○,○,○,○,2010/02/01,,
2764200289,７ｂｒｉｄｇｅ,072-647-6214,072-647-6952,567-0041,茨木市下穂積二丁目４番３２号　 ,株式会社アヴニール,○,○,○,○,2021/07/01,,
2764200016,ほくせつ２４,072-638-1466,072-638-1633,567-0824,茨木市中津町３番２６号　,ＮＰＯ法人自立生活センターほくせつ２４,○,○,○,○,2008/09/01,,
2764200271,ヘルパーステーション　Ａ－ＮＡＶＩ,072-657-9202,072-657-9202,567-0849,茨木市平田台１２番１８号　２階,合同会社フットステップ,○,○,○,○,2020/12/01,,
2764200073,サンライフ,072-628-4609,072-628-4204,567-0852,茨木市小柳町１２－１６　,前福産業株式会社,,,,,2011/12/01,,
2764200149,がじゅまるヘルパーステーション茨木,072-652-5025,072-652-5026,567-0854,茨木市島二丁目１２番２号　 ,Ｄ．ｍｙ’ｓ株式会社,○,○,○,○,2015/07/01,,
2764200164,いばらき自立支援センターぽぽんがぽん,072-623-9205,072-623-9203,567-0888,茨木市駅前一丁目４－１４　エステート茨木駅前３階,社会福祉法人ぽぽんがぽん,○,○,○,○,2018/04/01,,
2764200305,ケア２１茨木駅前,072-621-2578,072-621-2616,567-0888,茨木市駅前三丁目１番３号　東伸ビル３０２号,株式会社　ケア２１,○,○,○,○,2026/05/01,,
2764204026,ケア２１茨木,072-630-3621,072-638-5721,567-0891,茨木市水尾一丁目１４番５号　 ,株式会社　ケア２１,○,○,○,○,2026/05/01,,
2760900023,特定非営利活動法人自立支援センターたかつき,072-672-1294,072-672-1294,569-0082,高槻市明野町１０－１５　ぷりんせす明野,特定非営利活動法人　自立支援センターたかつき,,,,,2008/09/01,,
2760900445,ヘルパーステーションのぼりん,072-669-9217,072-669-9230,569-0804,高槻市紺屋町８番３１号　Ｋ２４ビル　５Ａ,合同会社ＹＯＲＯＺＵ屋,○,○,○,○,2025/03/01,,
2760900247,ふろんてぃあ,072-690-0553,072-668-1600,569-0825,高槻市栄町四丁目１５番１号　ロイヤル暁２０６号室,株式会社日本社会福祉総合研究所,○,○,○,○,2019/03/01,,
2760904017,ヘルパーステーション　高槻の風,072-668-5766,072-668-5765,569-0826,高槻市寿町三丁目３番１４号　 ,株式会社ソワン,○,○,○,○,2017/03/01,,
2760900031,自立センター前穂,072-689-8600,072-689-8900,569-1022,高槻市日吉台一丁目２１番１８号　,有限会社　前穂,,,,,2008/09/01,,
2760900437,合同会社こうのとりケア,072-658-8481,072-689-3411,569-1029,高槻市安岡寺町４－３－１５　 ,合同会社こうのとりケア,○,○,○,,2021/06/01,,
2760900056,地域生活支援センターらいと,072-686-2116,072-686-5822,569-1121,高槻市真上町二丁目３番２３号　 ,社会福祉法人　大阪福祉事業財団,○,○,○,○,2008/09/01,,
2763200512,ひだまり訪問介護,06-6993-8630,06-6993-8640,570-0006,守口市八雲西町一丁目２７番１８号　 ,一般社団法人あゆみ福祉会,○,○,○,○,2023/09/01,,
2763200488,わかりてヘルパーステーション桜,06-6992-0697,06-6998-6633,570-0008,守口市八雲北町三丁目３９番８号　 ,社会福祉法人　路交館,○,○,○,○,2022/11/01,,
2763200496,北大阪れんげケアセンター,06-4397-7071,06-4397-7081,570-0008,守口市八雲北町一丁目２番１０－１０１号　 ,医療法人蓮華友愛会,○,○,○,○,2022/12/01,,
2763200074,ヒューマンネットワークヒマワリ２１,06-6901-7911,06-6901-7913,570-0014,守口市藤田町四丁目１番１９号　,株式会社　アトクスコム,,,,,2008/09/01,,
2763200470,訪問介護ステーションＯｎｅｓｔｅｐ,06-6991-9722,06-6991-9733,570-0021,守口市八雲東町一丁目７番１１号　ウインドヒル守口２０２号,合同会社Ｏｎｅ　ｓｔｅｐ,○,○,○,○,2022/10/01,,
2763200546,オールケア・ホームサポート,06-6994-1600,06-6967-8383,570-0032,守口市菊水通四丁目１０番１３号　プロムナード菊水４０７号室,株式会社オールケア・サポート,○,○,○,○,2024/09/01,,
2763200322,サンサーラ,06-6780-4513,06-6780-4513,570-0035,守口市東光町一丁目８番８号３０１号　 ,ヒロタ製作所株式会社,○,○,○,○,2017/02/01,,
2763200256,介援隊,06-6995-6100,06-6995-6011,570-0042,守口市寺方錦通二丁目５番１４号　 ,株式会社スマイル・９,○,○,○,○,2014/10/01,,
2763200264,インプレッションサービス,06-6994-9550,06-6994-9552,570-0048,守口市寺方本通三丁目５番６号　 ,合同会社インプレッションサービス,○,○,○,○,2014/11/01,,
2763200298,介護センター　ＢＡＫＵ,06-6998-5673,06-6998-5674,570-0048,守口市寺方本通三丁目７番１６号　 ,有限会社　Ｋ’ｓ,○,○,○,○,2016/06/01,,
2763200330,ヘルパーステーションレオ,06-6914-4550,06-6914-4330,570-0053,守口市高瀬町一丁目８番１９号　 ,合同会社ＭＳＫ,○,○,○,○,2017/02/01,,
2763200454,ハロー,06-6997-6531,06-6997-6520,570-0062,守口市馬場町三丁目１４番６号　メゾンエミール７０１号,合同会社ハロー,○,○,○,○,2021/07/01,,
2763200215,天使の羽根ヘルパーステーション,06-6997-7272,06-6997-7273,570-0071,守口市祝町６番３号　,有限会社　天使の羽根,,,,,2012/11/01,,
2763200157,ケアセンターつむぎ,06-6992-0810,06-6992-0880,570-0072,守口市早苗町７－１５　,株式会社オータムハート,,,,,2010/04/08,,
2763200504,ｃｏ．ｃｏ．ｒｏ．ケアサポート,06-6997-6556,06-6997-6557,570-0073,守口市土居町５番１号　いずがみマンション３１２号室,株式会社Ｃｏ．Ｃｏ．Ｒｏイイイロ,○,○,○,○,2022/12/01,,
2763200447,訪問介護希望の光,06-6993-2066,06-6993-2077,570-0074,守口市文園町７－１１－２０番　Ｆ,株式会社愛,○,○,○,○,2020/04/01,,
2763200181,あいケア訪問介護ステ―ション,06-6997-7200,06-6997-7201,570-0078,守口市平代町５番１３号　,株式会社あいケア,,,,,2012/04/01,,
2763200108,うぃずサポートセンター守口,06-6996-1715,06-6996-1745,570-0079,守口市金下町一丁目６番１０号　 ,社会福祉法人　路交館,○,○,○,○,2008/09/01,,
2763200207,ホームヘルパーステーション　エヴァ守口,06-6995-3580,06-6995-3581,570-0079,守口市金下町１－１１－１１　,有限会社　アタラシコーポレーション,,,,,2012/10/01,,
2763200272,介護ステーションくらら,06-6998-6333,06-6998-6388,570-0079,守口市金下町一丁目２番１号　土居マンション１Ｆ,株式会社ピュアライフ,○,○,○,○,2014/12/01,,
2763200025,スバル・サポートファクトリーもりぐち,06-4250-4581,06-4250-4587,570-0081,守口市日吉町二丁目１４番２号　 ,スバル・トータルプランニング　株式会社,,,,,2008/09/01,,
2763200066,ケア２１守口,06-6995-6277,06-6995-6278,570-0083,守口市京阪本通一丁目３番２号　守口富士ビル４Ｆ,株式会社　ケア２１,○,○,○,○,2008/09/01,,
2763200520,ヘルパーステーションエム,06-4304-4700,06-4304-4711,570-0083,守口市京阪本通一丁目８番２７号　ラフィーヌ太子橋１０１,株式会社エム,○,○,○,○,2023/11/01,,
2763200058,社団法人守口市シルバー人材センター,06-6998-3601,06-6998-3659,570-0097,守口市桃町３番３０号　,社団法人　守口市シルバー人材センター,,,,,2008/09/01,,
2762600191,介護ステーションｅ－スマイル,072-803-7383,072-803-7382,571-0011,門真市脇田町１７番６号　 ,合同会社ランハート,○,○,○,○,2021/11/01,,
2762600233,ほいみヘルパーステーション,072-392-9962,072-392-9962,571-0011,門真市脇田町２４番１６号　 ,合同会社Ｃａｍｐｈｏｒ　Ｔｒｅｅ,○,○,○,○,2024/08/01,,
2762600241,ケアステーション陽だまり,072-395-1377,072-395-1345,571-0021,門真市舟田町２番１－１１号　 ,合同会社煌永,○,○,○,○,2024/10/01,,
2762600217,エルケア株式会社　エルケア門真ケアセンター,06-4252-7785,06-4252-7786,571-0030,門真市末広町３５番６号　プレミールコート１０２号,エルケア　株式会社,○,○,○,○,2022/11/01,,
2762600225,ぽぽ介護ステーション,072-813-9403,072-814-6536,571-0037,門真市ひえ島町１８番１８号　 ,株式会社歩歩,○,○,○,○,2023/08/01,,
2762600068,ヘルパーステーションくるりん,06-6991-9031,06-6991-9032,571-0048,門真市新橋町３１－２８　平野マンション棟１階店舗右号室,株式会社司,,,,,2010/04/01,,
2763200132,きずな,06-6900-6144,06-6900-6144,571-0052,門真市月出町６番３４号　サニーハイツ根上１０２号室,株式会社心愛,,,,,2009/03/01,,
2762600050,介護ステーションわかば,06-6907-7977,06-6907-7988,571-0052,門真市月出町６－３５　,有限会社ケイアイコーポレーション,,,,,2008/10/01,,
2762604011,紬,072-888-9200,072-397-3062,571-0061,門真市朝日町２３番４号　カルチェ・ダムールＣ棟１０１号室,株式会社オールスター,○,○,○,○,2025/01/01,,
2762600084,ヘルパーステーション樹,072-813-5522,072-813-5556,571-0079,門真市野里町１８番３号　 ,株式会社樹,○,○,○,○,2017/03/01,,
2760300067,癒し庵,072-825-1360,072-825-1370,572-0015,寝屋川市川勝町７番２４号　,株式会社　癒し庵,,,,,2008/09/01,,
